CPU utilization for five seconds: 14%/1%; one minute: 5%; five minutes: 4%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
   1 Cwe  A7AC120           12         75     160 5392/6000   0 Chunk Manager   
   2 Csp  C548CF0        66568   20400553       3 2592/3000   0 Load Meter      
   3 Mwe  A94BF48       747860   19280011      38 3496/6000   0 LDP Main        
   4 Mwe  83359D8         3096   99607069       0 7300/9000   0 BGP Scheduler   
   5 Mwe  B5B3274            4        626       6 5628/6000   0 Retransmission o
   6 Mwe  B5B77A4            4          7     571 5136/6000   0 IPC ISSU Dispatc
   7 Mwe  C20ABA8            0          1       0 5564/6000   0 PF Redun ICC Req
   8 Mwe  A751C48            0          1       0 5624/6000   0 RO Notify Timers
   9 Lst  A7D3EA0    217549384   17928413   12134 5368/6000   0 Check heaps     
  10 Cwe  A7C92E4         1108    1700045       0 5400/6000   0 Pool Manager    
  11 Mwe  A7C8AA0            0          1       0 5612/6000   0 DiscardQ Backgro
  12 Mst  89379DC            0          2       0 5504/6000   0 Timers          
  13 Mwe  8986908        88100    4306593      20 2628/3000   0 WATCH_AFS       
  14 Mwe  80BCDFC      1062060    4667967     227 4420/6000   0 ARP Input       
  15 Mwe  80B89DC         4536  106384240       0 4464/6000   0 ARP Background  
  16 Mwe  813C1CC            0          2       0 5500/6000   0 ATM Idle Timer  
  17 Mwe  812E070            0          1       0 5616/6000   0 ATM ASYNC PROC  
  18 Lwe  89194E0            0          1       0 5632/6000   0 AAA_SERVER_DEADT
  19 Mwe  8A7DFC8            0          1       011572/12000  0 Policy Manager  
  20 Lwe  8CB4BB0           44        235     187 4740/6000   0 Entity MIB API  
  21 Mwe  90CB0CC            0          1       0 5604/6000   0 IFS Agent Manage
  22 Mwe  9197E9C          532   20400361       0 3496/6000   0 IPC Event Notifi
  23 Mwe  91DFF4C         2728   99606943       0 5616/6000   0 IPC Mcast Pendin
  24 Mwe  91C0638           28    1700046       0 5644/6000   0 IPC Dynamic Cach
  25 Mwe  91D3BC4          472   20400338       0 5580/6000   0 IPC Service NonC
  26 Hwe  C20E250           16        127     125 4584/6000   0 PF_Split Sync Pr
  27 Mwe  91C2668         5560   99609632       0 4796/6000   0 IPC Periodic Tim
  28 Mwe  91C080C         2480   99606947       0 4996/6000   0 IPC Deferred Por
  29 Mwe  91C05EC            0          1       0 5652/6000   0 IPC Process leve
  30 Mwe  91C23A0     16037452  142722812     112 3220/6000   0 IPC Seat Manager
  31 Mwe  918E358           28    1569273       0 4976/6000   0 IPC Check Queue 
  32 Mwe  91C2EF4          644       6995      92 4664/6000   0 IPC Seat RX Cont
  33 Mwe  91C2E14            0         29       0 3376/6000   0 IPC Seat TX Cont
  34 Mwe  91BFC88          732   10200282       0 5620/6000   0 IPC Keep Alive M
  35 Hsi  91BD0D8         7108   20400352       0 5592/6000   0 IPC Loadometer  
  36 Mwe  91BD098            0          1       0 5612/6000   0 IPC Session Deta
  37 Hsp  A5D059C          244   10200279       0 5640/6000   0 Compute SRP rate
  38 Mwe  A7545D0            0          1       0 2624/3000   0 RMI RM Notify Wa
  39 Lwe  B340C34            0          1       0 5632/6000   0 CEF MIB API     
  40 Mwe  B3BB9AC            0          2       0 5480/6000   0 DDR Timers      
  41 Mwe  B5789CC            0          1       0 5624/6000   0 ifIndex Receive 
  42 Mwe  B92D3B0           24         11    2181 3676/6000   0 SENSOR-MGR event
  43 Mwe  B930EC0            0          2       0 5488/6000   0 Serial Backgroun
  44 Mwe  BBD046C            0          1       023548/24000  0 Crash writer    
  45 Mwe  BBCEF8C            0          1       0 5392/6000   0 Exception contro
  46 Mwe  C0A612C            0          1       0 5576/6000   0 IPC Apps Task   
  47 Hwe  C38A264            0         21       0 4804/6000   0 RPC pf-split-rp 
  48 Msi  C616200      4783808   40664842     117 4656/6000   0 EnvMon          
  49 Msp  8A06948         3524  102002759       0 5560/6000   0 GraphIt         
  50 Hwe  A191E38           44        915      48 9700/12000  0 rf proxy rp agen
  51 Hwe  A191FC4            0          3       0 5460/6000   0 rf proxy message
  52 Lwe  AD8FA4C      8158832     777280   10496 3648/6000   0 crypto sw pk pro
  53 Lwe  B22CAE4           20        113     176 3572/6000   0 Entity MIB C6k P
  54 Mwe  B6DE188            0          4       0 4848/6000   0 client_entity_se
  55 Mwe  B93E874            0          1       0 5628/6000   0 SERIAL A'detect 
  56 Mwe  BC4F700            0          1       0 5660/6000   0 Snmp ICC Process
  57 Mwe  BC4DE4C            4        191      20 4748/6000   0 Cat6k SNMP      
  58 Mwe  BC4C8C0            4         74      54 5280/6000   0 Cat6k SNMP Trap 
  59 Hwe  C38A264          284         67    4238 2952/6000   0 RPC idprom-MP   
  60 Mwe  C5045B4         4008  101997235       0 5616/6000   0 Dynamic ARP Insp
  61 Cwe  A7DEBC0            0          1       0 5652/6000   0 Critical Bkgnd  
  62 Mwe  BC01394         2520   14186628       0 9544/12000  0 Net Background  
  63 Mwe  BC00EB4            4          3    133311480/12000  0 IDB Work        
  64 Lwe  8A5ACF0            0       1162       010732/12000  0 Logger          
  65 Mwe  893FE28         4456  101997249       0 3724/6000   0 TTY Background  
  66 Mwe  90A1D0C           72        451     159 4348/6000   0 IF-MGR control p
  67 Mwe  90B02C0           12        134      89 4756/6000   0 IF-MGR event pro
